symbol,name,source,price_usd,market_cap,volume_24h,change_24h,change_7d,volatility,mcap_tier,trend,momentum_score
BTC,Bitcoin,coingecko,79838,1599005714903,47156623259,-1.51509,-1.4825942175226454,LOW,LARGE_CAP,DOWN,-1.5
ETH,Ethereum,coingecko,2270.18,273941357551,14498170296,-1.35784,-2.549100730408542,LOW,LARGE_CAP,DOWN,-1.83
USDT,Tether,coingecko,0.999513,189765520186,73713121578,-0.01733,-0.030291188379949766,LOW,LARGE_CAP,FLAT,-0.02
BNB,BNB,coingecko,669.36,90213323104,1179437290,-1.29141,3.9787495757190525,LOW,LARGE_CAP,DOWN,0.82
XRP,XRP,coingecko,1.43,88656930200,2229355683,-1.38141,1.6989294573320213,LOW,LARGE_CAP,DOWN,-0.15
USDC,USDC,coingecko,0.999742,76739313051,13139547330,-0.04794,-0.009405289271657662,LOW,LARGE_CAP,FLAT,-0.03
SOL,Solana,coingecko,91.29,52747190638,3784436409,-4.28241,3.0886638105607997,MEDIUM,LARGE_CAP,DOWN,-1.33
TRX,TRON,coingecko,0.350994,33269327618,462257282,0.54364,1.9689459503115916,LOW,LARGE_CAP,FLAT,1.11
FIGR_HELOC,Figure Heloc,coingecko,1.034,18479675560,25009665,-0.35018,1.363097754556875,LOW,LARGE_CAP,FLAT,0.34
DOGE,Dogecoin,coingecko,0.114643,17687603147,2013224257,2.28166,3.4404903652730323,LOW,LARGE_CAP,UP,2.75
WBT,WhiteBIT Coin,coingecko,58.77,12509904919,49615502,-1.25562,-0.7435021478758493,LOW,LARGE_CAP,DOWN,-1.05
USDS,USDS,coingecko,0.99982,10987861473,10578281,0.00658,0.006465805461536841,LOW,LARGE_CAP,FLAT,0.01
ADA,Cardano,coingecko,0.26592,9835252291,417498151,-2.6631,0.281624691731648,LOW,MID_CAP,DOWN,-1.49
HYPE,Hyperliquid,coingecko,39.22,9349730257,301695389,-2.02796,-8.483686322490664,LOW,MID_CAP,DOWN,-4.61
LEO,LEO Token,coingecko,10.08,9278425564,624700,0.75173,-2.4630472690405045,LOW,MID_CAP,FLAT,-0.53
ZEC,Zcash,coingecko,530.37,8849033032,872875147,-4.88388,-2.3356656225522796,MEDIUM,MID_CAP,DOWN,-3.86
BCH,Bitcoin Cash,coingecko,434.4,8702321092,226943575,-2.03929,-5.853865286857957,LOW,MID_CAP,DOWN,-3.57
LINK,Chainlink,coingecko,10.3,7489867133,464766073,-1.28457,3.6212819233153226,LOW,MID_CAP,DOWN,0.68
XMR,Monero,coingecko,397.25,7327887145,142292771,-3.68871,-3.3730375929945837,MEDIUM,MID_CAP,DOWN,-3.56
CC,Canton,coingecko,0.157567,6050544346,8472051,2.68783,6.6286928343759985,LOW,MID_CAP,UP,4.26
TON,Toncoin,coingecko,2.15,5775035502,405846936,-5.27174,-22.985207395086775,MEDIUM,MID_CAP,STRONG_DOWN,-12.36
