name,symbol,category,price,change_pct,spread,spread_pct,spread_label,trend,volatility_20d,vol_ratio
Gold,GC=F,Precious Metals,4591.2,-1.86,0.1,0.0022,0.1 (0.002%),NEUTRAL,1.05,17.32
Silver,SI=F,Precious Metals,79.625,-6.23,0.005,0.0063,0.005 (0.006%),BULLISH,3.04,8.2
Platinum,PL=F,Precious Metals,2017.6,-3.16,0.1,0.005,0.1 (0.005%),BULLISH,2.26,16.5
Palladium,PA=F,Precious Metals,1431.0,-1.76,0.5,0.0349,0.5 (0.035%),BEARISH,2.23,19.58
Crude Oil WTI,CL=F,Energy,102.79,1.6,0.01,0.0097,0.01 (0.010%),BULLISH,2.94,0.03
Brent Crude,BZ=F,Energy,107.08,1.29,0.01,0.0093,0.01 (0.009%),NEUTRAL,3.27,0.06
Natural Gas,NG=F,Energy,2.934,1.38,0.001,0.0341,0.001 (0.034%),BULLISH,2.0,0.06
Copper,HG=F,Industrial Metals,6.3715,-2.98,0.0005,0.0078,0.0005 (0.008%),BULLISH,1.44,7.08
Corn,ZC=F,Agriculture,468.0,3.65,0.25,0.0534,0.25 (0.053%),NEUTRAL,1.05,0.55
Wheat,ZW=F,Agriculture,652.5,0.85,0.25,0.0383,0.25 (0.038%),BULLISH,1.77,0.88
Soybeans,ZS=F,Agriculture,1191.0,1.4,0.25,0.021,0.25 (0.021%),BULLISH,0.87,0.61
