name,symbol,category,price,change_pct,spread,spread_pct,spread_label,trend,volatility_20d,vol_ratio
Gold,GC=F,Precious Metals,4577.1,-2.16,0.1,0.0022,0.1 (0.002%),NEUTRAL,1.07,17.44
Silver,SI=F,Precious Metals,79.32,-6.59,0.005,0.0063,0.005 (0.006%),BULLISH,3.06,8.46
Platinum,PL=F,Precious Metals,2012.6,-3.4,0.1,0.005,0.1 (0.005%),BULLISH,2.28,16.66
Palladium,PA=F,Precious Metals,1430.0,-1.83,0.5,0.035,0.5 (0.035%),BEARISH,2.24,19.63
Crude Oil WTI,CL=F,Energy,98.76,-2.38,0.01,0.0101,0.01 (0.010%),BULLISH,2.97,0.08
Brent Crude,BZ=F,Energy,107.33,1.52,0.01,0.0093,0.01 (0.009%),NEUTRAL,3.29,0.07
Natural Gas,NG=F,Energy,2.934,1.38,0.001,0.0341,0.001 (0.034%),BULLISH,2.0,0.06
Copper,HG=F,Industrial Metals,6.3645,-3.09,0.0005,0.0079,0.0005 (0.008%),BULLISH,1.45,7.32
Corn,ZC=F,Agriculture,468.25,3.71,0.25,0.0534,0.25 (0.053%),NEUTRAL,1.06,0.57
Wheat,ZW=F,Agriculture,652.75,0.89,0.25,0.0383,0.25 (0.038%),BULLISH,1.77,0.91
Soybeans,ZS=F,Agriculture,1191.5,1.45,0.25,0.021,0.25 (0.021%),BULLISH,0.88,0.62
Sugar,SB=F,Softs,15.46,3.14,0.01,0.0647,0.01 (0.065%),BULLISH,1.74,0.03
Cotton,CT=F,Softs,81.89,-2.44,0.01,0.0122,0.01 (0.012%),BULLISH,1.6,0.66
