symbol,name,source,price_usd,market_cap,volume_24h,change_24h,change_7d,volatility,mcap_tier,trend,momentum_score
BTC,Bitcoin,coingecko,79825,1598860972726,46933331166,-1.49007,-1.4985907176836961,LOW,LARGE_CAP,DOWN,-1.49
ETH,Ethereum,coingecko,2271.53,274173678737,15274156523,-1.28529,-2.4914811773195313,LOW,LARGE_CAP,DOWN,-1.77
USDT,Tether,coingecko,0.99954,189768762100,73774587057,-0.01762,-0.027633772110042462,LOW,LARGE_CAP,FLAT,-0.02
BNB,BNB,coingecko,669.87,90272202418,1165054612,-1.12493,4.0578931403550955,LOW,LARGE_CAP,DOWN,0.95
XRP,XRP,coingecko,1.43,88528770965,2209118458,-1.81995,1.5598037078822535,LOW,LARGE_CAP,DOWN,-0.47
USDC,USDC,coingecko,0.999742,76734534250,13163022687,-0.06157,-0.009367456691145437,LOW,LARGE_CAP,FLAT,-0.04
SOL,Solana,coingecko,91.33,52792042369,3990434532,-4.35965,3.1317266330691007,MEDIUM,LARGE_CAP,DOWN,-1.36
TRX,TRON,coingecko,0.351139,33285160910,455848272,0.45181,2.01124057728788,LOW,LARGE_CAP,FLAT,1.08
FIGR_HELOC,Figure Heloc,coingecko,1.034,18300558754,25009665,-0.35018,1.363097754556875,LOW,LARGE_CAP,FLAT,0.34
DOGE,Dogecoin,coingecko,0.114306,17579392801,2015738885,1.8231,3.1367543524005908,LOW,LARGE_CAP,UP,2.35
WBT,WhiteBIT Coin,coingecko,58.77,12509168820,112465754,-1.27183,-0.7423048681455086,LOW,LARGE_CAP,DOWN,-1.06
USDS,USDS,coingecko,0.999828,10985790882,10304745,0.00679,0.0072982854620915055,LOW,LARGE_CAP,FLAT,0.01
ADA,Cardano,coingecko,0.265957,9835011746,416673896,-2.79116,0.2955254726852741,LOW,MID_CAP,DOWN,-1.56
HYPE,Hyperliquid,coingecko,39.17,9339659178,302843760,-2.51564,-8.615925537052986,LOW,MID_CAP,DOWN,-4.96
LEO,LEO Token,coingecko,10.06,9296585076,461695,0.60985,-2.649412965026118,LOW,MID_CAP,FLAT,-0.69
ZEC,Zcash,coingecko,528.45,8833458871,868369237,-5.36372,-2.690308375221818,MEDIUM,MID_CAP,STRONG_DOWN,-4.29
BCH,Bitcoin Cash,coingecko,434.34,8702743834,226909093,-2.15036,-5.866120530276369,LOW,MID_CAP,DOWN,-3.64
LINK,Chainlink,coingecko,10.31,7495945145,463476735,-1.48327,3.7142369834628215,LOW,MID_CAP,DOWN,0.6
XMR,Monero,coingecko,394.71,7295488247,143458034,-4.37966,-3.9921656615091545,MEDIUM,MID_CAP,DOWN,-4.22
CC,Canton,coingecko,0.158002,6082978411,8780804,2.93005,6.923029223491124,LOW,MID_CAP,UP,4.53
TON,Toncoin,coingecko,2.13,5734524313,406426894,-6.05575,-23.615109757957775,MEDIUM,MID_CAP,STRONG_DOWN,-13.08
XLM,Stellar,coingecko,0.159757,5351169486,108741175,-2.78933,-0.6923640600494458,LOW,MID_CAP,DOWN,-1.95
SUI,Sui,coingecko,1.21,4826067108,687929706,-3.3362,22.61144802802077,MEDIUM,MID_CAP,DOWN,7.04
USD1,USD1,coingecko,0.999298,4432622325,1002986001,-0.01579,-0.006890225785088474,LOW,MID_CAP,FLAT,-0.01
LTC,Litecoin,coingecko,57.23,4416649680,252581537,-1.77047,0.9628052206229331,LOW,MID_CAP,DOWN,-0.68
DAI,Dai,coingecko,0.999693,4372197240,215320549,0.00623,0.005618059085509435,LOW,MID_CAP,FLAT,0.01
M,MemeCore,coingecko,3.33,4335923094,12014280,1.70099,-13.342882763991003,LOW,MID_CAP,UP,-4.32
AVAX,Avalanche,coingecko,9.78,4221784264,230709074,-2.28249,2.0838317069173455,LOW,MID_CAP,DOWN,-0.54
HBAR,Hedera,coingecko,0.093383,4050229183,73989570,-1.10977,2.974421860068581,LOW,MID_CAP,DOWN,0.52
USDE,Ethena USDe,coingecko,1.0,4028670131,292204916,0.07201,0.10430442910558807,LOW,MID_CAP,FLAT,0.08
SHIB,Shiba Inu,coingecko,6.29e-06,3708212625,141767798,-3.34454,-0.4850309491079344,MEDIUM,MID_CAP,DOWN,-2.2
RAIN,Rain,coingecko,0.00750135,3589344798,26487373,-0.9377,5.106554773687078,LOW,MID_CAP,FLAT,1.48
PYUSD,PayPal USD,coingecko,0.999797,3477613391,79733722,0.00354,-0.008748081360344506,LOW,MID_CAP,FLAT,-0.0
USDG,Global Dollar,coingecko,0.999706,3417443849,340136865,-0.00104,-0.016709799480342524,LOW,MID_CAP,FLAT,-0.01
CRO,Cronos,coingecko,0.073753,3213987498,19371793,-6.73789,4.733296698969744,MEDIUM,MID_CAP,STRONG_DOWN,-2.15
USYC,Circle USYC,coingecko,1.12,2993245535,112267,0.0,0.0,LOW,MID_CAP,FLAT,0.0
TAO,Bittensor,coingecko,296.07,2841680196,215826892,-2.92957,-4.576107496169303,LOW,MID_CAP,DOWN,-3.59
XAUT,Tether Gold,coingecko,4679.6,2772143950,147876095,-0.4677,-0.2544829404249899,LOW,MID_CAP,FLAT,-0.38
BUIDL,BlackRock USD Institutional Digital Liquidity Fund,coingecko,1.0,2298958109,0.0,0.0,0.0,LOW,MID_CAP,FLAT,0.0
UNI,Uniswap,coingecko,3.61,2298344304,183079318,-4.95815,5.411517774309427,MEDIUM,MID_CAP,DOWN,-0.81
DOT,Polkadot,coingecko,1.33,2246063011,197343385,-4.30172,1.6366896012651857,MEDIUM,MID_CAP,DOWN,-1.93
MNT,Mantle,coingecko,0.676676,2236679827,53441517,0.41523,2.64512391796665,LOW,MID_CAP,FLAT,1.31
PAXG,PAX Gold,coingecko,4679.59,2208266822,134878116,-0.54496,-0.09737702500283249,LOW,MID_CAP,FLAT,-0.37
WLFI,World Liberty Financial,coingecko,0.068988,2191914244,62757194,-0.35614,2.185044355630926,LOW,MID_CAP,FLAT,0.66
NEAR,NEAR Protocol,coingecko,1.57,2037863941,322849597,-4.17846,5.6841702514463055,MEDIUM,MID_CAP,DOWN,-0.23
USDY,Ondo US Dollar Yield,coingecko,1.13,1890351214,464341,-0.02654,0.09177474471893642,LOW,MID_CAP,FLAT,0.02
ONDO,Ondo,coingecko,0.386844,1883322253,154812057,-3.40052,16.163734436812643,MEDIUM,MID_CAP,DOWN,4.43
PI,Pi Network,coingecko,0.170529,1787180012,13178195,-1.06156,-5.22784825235428,LOW,MID_CAP,DOWN,-2.73
OKB,OKB,coingecko,84.8,1781767826,18541609,-1.25355,-2.023664065908972,LOW,MID_CAP,DOWN,-1.56
USDF,Falcon USD,coingecko,0.998751,1781596526,365577,-0.11887,0.04862846083236829,LOW,MID_CAP,FLAT,-0.05
HTX,HTX DAO,coingecko,1.96e-06,1776913281,93029567,0.032,-0.17043776611738246,LOW,MID_CAP,FLAT,-0.05
ASTER,Aster,coingecko,0.672372,1734226248,129681417,-0.49569,-0.15018639411310483,LOW,MID_CAP,FLAT,-0.36
PEPE,Pepe,coingecko,4.07e-06,1711514330,233847234,-3.01807,-2.1158971647121536,MEDIUM,MID_CAP,DOWN,-2.66
SKY,Sky,coingecko,0.072617,1686887245,11851623,-5.17238,-8.955167595218725,MEDIUM,MID_CAP,STRONG_DOWN,-6.69
ICP,Internet Computer,coingecko,3.0,1660765868,75552866,-6.77854,1.3502056377057137,MEDIUM,MID_CAP,STRONG_DOWN,-3.53
RLUSD,Ripple USD,coingecko,0.999915,1553312552,117675696,-0.0064,-0.005639720398642933,LOW,MID_CAP,FLAT,-0.01
AAVE,Aave,coingecko,97.21,1475538498,293857084,-0.92456,4.382529008386008,LOW,MID_CAP,FLAT,1.2
USDD,USDD,coingecko,0.999422,1472702680,15580647,-0.03083,-0.03144552399655522,LOW,MID_CAP,FLAT,-0.03
ETC,Ethereum Classic,coingecko,9.29,1454914450,44142964,-1.8897,0.19345468695587253,LOW,MID_CAP,DOWN,-1.06
BGB,Bitget Token,coingecko,2.07,1447444571,16875514,-1.02706,-3.46175333398696,LOW,MID_CAP,DOWN,-2.0
BFUSD,BFUSD,coingecko,0.9988,1318416191,1429828,-0.03993,-0.029988290387174266,LOW,MID_CAP,FLAT,-0.04
MORPHO,Morpho,coingecko,1.97,1248840955,10048729,-4.37723,-9.029028466956488,MEDIUM,MID_CAP,DOWN,-6.24
KCS,KuCoin,coingecko,8.34,1122936236,2649299,-1.55654,-0.626293157667059,LOW,MID_CAP,DOWN,-1.18
JTRSY,Janus Henderson Anemoy Treasury Fund,coingecko,1.1,1113345591,0.0,0.00879,0.18435355924968794,LOW,MID_CAP,FLAT,0.08
QNT,Quant,coingecko,74.84,1089593372,13181405,0.39122,7.126600416679124,LOW,MID_CAP,FLAT,3.09
ENA,Ethena,coingecko,0.117841,1063852918,103387949,-4.75417,0.9703789865633101,MEDIUM,MID_CAP,DOWN,-2.46
ALGO,Algorand,coingecko,0.117954,1050426221,29402357,-4.39034,-6.754003109509387,MEDIUM,MID_CAP,DOWN,-5.34
ATOM,Cosmos Hub,coingecko,2.03,1029891779,65987508,-5.55076,7.423117294024885,MEDIUM,MID_CAP,STRONG_DOWN,-0.36
U,United Stables,coingecko,0.999686,1027691575,21565582,-0.00737,-0.02762460267187215,LOW,MID_CAP,FLAT,-0.02
USTB,Superstate Short Duration U.S. Government Securities Fund (USTB),coingecko,11.08,1016644652,0.0,0.0095,0.06496005854985536,LOW,MID_CAP,FLAT,0.03
KAS,Kaspa,coingecko,0.03707613,1016502333,22576726,-2.92427,0.7014661362696896,LOW,MID_CAP,DOWN,-1.47
POL,POL (ex-MATIC),coingecko,0.095109,1014950249,49967661,-5.26951,-4.270717188010743,MEDIUM,MID_CAP,STRONG_DOWN,-4.87
EUTBL,Spiko EU T-Bills Money Market Fund,coingecko,1.23,991096828,0.0,-0.14057,-0.3431248963829637,LOW,SMALL_CAP,FLAT,-0.22
RENDER,Render,coingecko,1.87,972367595,84677585,-3.54631,-3.4691131573553533,MEDIUM,SMALL_CAP,DOWN,-3.52
BCAP,Blockchain Capital,coingecko,105.87,964699192,0.0,0.0,0.09454476694715754,LOW,SMALL_CAP,FLAT,0.04
NEXO,NEXO,coingecko,0.903816,903594168,8346676,-1.65981,0.4088711729224948,LOW,SMALL_CAP,DOWN,-0.83
STABLE,​​Stable,coingecko,0.03874763,877445278,22490786,-0.17368,16.505653483952422,LOW,SMALL_CAP,FLAT,6.5
WLD,Worldcoin,coingecko,0.259331,876346401,123184850,-6.14999,2.4472978934133667,MEDIUM,SMALL_CAP,STRONG_DOWN,-2.71
APT,Aptos,coingecko,1.038,849546939,70263880,-6.07749,2.3877363065445394,MEDIUM,SMALL_CAP,STRONG_DOWN,-2.69
FIL,Filecoin,coingecko,1.044,815289399,79498233,-4.63983,-4.01813036635215,MEDIUM,SMALL_CAP,DOWN,-4.39
USDTB,USDtb,coingecko,0.999228,813109433,4644958,-0.03818,-0.06973141940374615,LOW,SMALL_CAP,FLAT,-0.05
ARB,Arbitrum,coingecko,0.130899,804443085,75167424,-6.55698,4.500222540744264,MEDIUM,SMALL_CAP,STRONG_DOWN,-2.13
GT,Gate,coingecko,7.29,775359140,2389844,-0.50734,-1.0988773051733673,LOW,SMALL_CAP,FLAT,-0.74
JST,JUST,coingecko,0.090717,775092102,21688769,0.57457,5.653984865619366,LOW,SMALL_CAP,FLAT,2.61
FLR,Flare,coingecko,0.00865738,745639274,2678547,-1.27465,10.684122145046782,LOW,SMALL_CAP,DOWN,3.51
JUP,Jupiter,coingecko,0.222873,740348225,33983976,-6.92759,13.38451478526431,MEDIUM,SMALL_CAP,STRONG_DOWN,1.2
PUMP,Pump.fun,coingecko,0.00185716,662306234,51337859,-7.50855,-3.3973578580068544,MEDIUM,SMALL_CAP,STRONG_DOWN,-5.86
XDC,XDC Network,coingecko,0.03180437,634735201,24859929,-2.38273,7.4635409557110695,LOW,SMALL_CAP,DOWN,1.56
VET,VeChain,coingecko,0.00730566,628065094,15955316,-4.22074,-4.797936439788979,MEDIUM,SMALL_CAP,DOWN,-4.45
VVV,Venice Token,coingecko,13.47,620396187,81431954,-11.06161,7.890913111635125,HIGH,SMALL_CAP,STRONG_DOWN,-3.48
BDX,Beldex,coingecko,0.079263,613344177,10527708,-0.62344,-0.6784451294226411,LOW,SMALL_CAP,FLAT,-0.65
BONK,Bonk,coingecko,6.83e-06,601034176,50944986,-4.95356,-0.2276627080776981,MEDIUM,SMALL_CAP,DOWN,-3.06
OUSG,OUSG,coingecko,115.23,596689615,0.0,0.00915,0.06396057304033169,LOW,SMALL_CAP,FLAT,0.03
GHO,GHO,coingecko,0.999426,583664212,7614272,-0.01654,-0.0301965739996073,LOW,SMALL_CAP,FLAT,-0.02
DEXE,DeXe,coingecko,12.27,573043831,15884455,-6.80517,7.265521391058257,MEDIUM,SMALL_CAP,STRONG_DOWN,-1.18
PENGU,Pudgy Penguins,coingecko,0.00901582,567079001,118730160,-4.48236,-13.556173537566988,MEDIUM,SMALL_CAP,DOWN,-8.11
TRUMP,Official Trump,coingecko,2.37,562002265,205010449,-4.57295,1.3898595842151849,MEDIUM,SMALL_CAP,DOWN,-2.19
DASH,Dash,coingecko,44.16,561100068,84093287,-4.69977,-14.406949402163995,MEDIUM,SMALL_CAP,DOWN,-8.58
USD0,Usual USD,coingecko,0.997998,556471566,51530,-0.00538,-0.005551015815370101,LOW,SMALL_CAP,FLAT,-0.01
HASH,Provenance Blockchain,coingecko,0.01049066,555712023,30490,-0.12257,-7.903494374421122,LOW,SMALL_CAP,FLAT,-3.23
ZANO,Zano,coingecko_trending,0.00014100947262323505,207,0,0,0,LOW,MICRO_CAP,FLAT,0.0
BILL,Billions Network,coingecko_trending,2.1683151842541138e-06,127,0,0,0,LOW,MICRO_CAP,FLAT,0.0
LAB,LAB,coingecko_trending,7.10355905577984e-05,121,0,0,0,LOW,MICRO_CAP,FLAT,0.0
PROS,Pharos,coingecko_trending,9.380944583208573e-06,303,0,0,0,LOW,MICRO_CAP,FLAT,0.0
MON,Monad,coingecko_trending,3.7589537400730923e-07,142,0,0,0,LOW,MICRO_CAP,FLAT,0.0
LUNC,Terra Luna Classic,coingecko_trending,1.0276517600344856e-09,116,0,0,0,LOW,MICRO_CAP,FLAT,0.0
